916,0|3-1|36,0|28-3|32,0|0-47-1|4,1|3-28|1,1|3|5,0|1|891,0|1-47|35,0|47-3|30
684,0|0-54-5|2,0|0-5-14|2,0|14-54-0|1,0|54-5-6|2,0|14-0|34,0|6-0-14|1,0|54|872
614,0|1-3-2-25|1,1|1-25|1,0|372-3|26,0|1-25-2|2,0|25-2-3|1,0|372-1-2|1
50,1|4-18|1,0|4-3-18|2,0|3-4|31,0|18-4-16|2,0||18498,0|16-3|28,0|41-16-4|3
250,0|28-39-12|1,0|211-28|34,0|211-39-12|2,0|28-211|34,0|211-39|28,0|12-211|36
184,0|5-10-25|2,1|10-1|1,0|10-1-5|1,0|25-1|24,0|5-1-10|1,0|1-25-3|1,0|10-3|26
902,0|37-473|19,0|107-473-0|2,0|654-107-473|1,0|0-654-107|2,0|654-473-107|1,0|0-37-107|1,0|0-473-37|2
569,0|25-3-315|1,0|315-3|27,0|315-2|34,0|0|926,0|2-315|34,0|0-25|29,0|315-2-0|1
583,1|16|2,0|53-16-54|1,0|54-53-28|2,0|28-33-53|2,0|33-28|24,0|33-53-28|1
661,0|4-517-57|2,0|517-5-130|4,0|5-57|41,0|4-57-130-5|1,0|57|953,0|130-517|31,0|130-517-57|1,0|517-57|26
969,0|84-6|27,0|175|893,0|59-175-6|1,1|3|2,0|84-175|32,0|84|895,0|84-175-59|2
823,0||18446,1|56-5-612|1,0|5-245|31,0|245-5|33,0|56-5|30,0|245-12-5|3
228,0|0-1-98|1,0|1-98-4|1,0|4-0-8|2,0|8|974,1|1-8|1,0|1|916,1|0|4
16,0|2-3|28,0|0-1-2|3,1|1|5,1|5-3|1,0|1-3-5|1,0|0-1|37
611,0|4-48-94|1,0|94-48-70|1,0|4-26|32,0|70-4|32,0|48-26|33,0|70-94-48|1
456,0|92-5-354|1,0|92-354-24|1,0|24|888,0|354-5|24,0|92-6|26,0|354-24-92|3,0|354-6-24|1
626,0|1-12|29,0|189-5|40,0|189-5-0|2,0|5-0-189-1|1,0|0-12-1|1,0|5-0-1|1,1|12|6
392,0|59-6|24,0|320-16-18|1,1|320|6,0|16-6-320|1,1|6-16-320|1,0|16-6|28,0|16-59|32
603,0|239-67-223|1,0|9-239|37,0|223-9-5|1,0|223-5-67-9|1,0|239-67-5|1,0|9|899,0|9-239-5|1
512,0|85-185-146|3,0|7-85|29,0|146-7-85|1,0|85-146-7|1,0|185-85|29,0|85-185-5|1,0|146-7-185|1
378,1|1-3|1,0|3-5|32,0|8-1|22,0|1-5-8|2,0|5|988,0|3-1-5|1
807,0|420-31|33,0|5-420-7|2,0|31-420|32,1|7|2,0|10-7-5|1,0|5-10-420|2,0|31-10|30
395,0|368-30|28,0|263-368-109|1,0|109|868,1|85-368|1,0|368-85|39,0|85-368|32,0|109-368-30|1
697,0|2-21-1-4|1,0|21-2-543|1,0|4-21|38,0|543-1-4|1,0|21-4|30,1|4|2,0|543-4|25
290,0|48-197-68|1,0|6-68-197|2,1|1|1,0|197-68-48|1,0|6-1-197|1,0|6-197-1|1,0|68-1|39
